Unnamed: 0,FTHG,FTAG,FTR,HST,AST,HC,AC,B365H,B365D,B365A,HC.1,AC.1,HF,AF,B365>2.5,B365<2.5,Date,Home_xG,Away_xG,FTR_encoded,FTR_A,FTR_D,FTR_H,ProbH,ProbD,ProbA,ShotDiff,CornerDiff,FoulDiff,xGDiff,Norm_ShotDiff,Norm_CornerDiff,Norm_FoulDiff,Norm_xGDiff
1611,1,0,H,4,1,2,7,2.9,3.2,2.75,2,7,11,11,,,2018-12-08,1.4,1.0,2,0,0,1,0.3377470734983689,0.3060832853578968,0.35616964114373445,3,-5,0,0.3999999999999999,0.573638006878164,-1.2519645398206571,0.045329389844772354,0.10549661718788186
1617,1,2,A,4,6,4,6,2.9,3.2,2.7,4,6,10,17,,,2018-12-09,0.6,1.8,0,1,0,0,0.33553398058252426,0.3040776699029126,0.36038834951456306,-2,-2,-7,-1.2000000000000002,-0.6951974716561772,-0.6277284824463426,-1.4526955965784256,-1.142552715560494
1618,2,2,D,5,3,6,6,1.8,3.75,5.0,6,6,13,13,,,2018-12-10,1.7,1.7,1,0,1,0,0.5434782608695653,0.2608695652173913,0.19565217391304351,2,0,0,0.0,0.3198709111712958,-0.2115711108634663,0.045329389844772354,-0.206515715999212
1625,2,0,H,3,3,5,3,1.95,3.6,4.33,5,3,15,7,,,2018-12-15,1.8,0.6,2,0,0,1,0.5020047340708178,0.2719192309550263,0.2260760349741558,0,2,8,1.2000000000000002,-0.1876632802424407,0.20458626071940997,1.7573579457569986,0.7295212835620699
1624,3,2,H,8,3,5,0,1.64,3.9,6.0,5,0,7,5,,,2018-12-15,1.4,0.9,2,0,0,1,0.5903723887375113,0.2482591583409022,0.1613684529215864,5,5,2,0.4999999999999999,1.0811721982919007,0.8288223180937244,0.47333652882282884,0.18349970048465533
1623,1,0,H,3,0,8,3,1.18,8.0,19.0,8,3,7,8,,,2018-12-15,1.7,0.5,2,0,0,1,0.8267159795496574,0.12194060698357444,0.051343413466768184,3,5,-1,1.2,0.573638006878164,0.8288223180937244,-0.1686741796442559,0.7295212835620698
1621,0,1,A,5,5,10,1,2.6,3.1,3.1,10,1,5,13,,,2018-12-15,0.8,0.6,0,1,0,0,0.3734939759036145,0.31325301204819284,0.31325301204819284,0,9,-8,0.20000000000000007,-0.1876632802424407,1.661137061259477,-1.6666991660674537,-0.05050954940566499
1620,0,2,A,4,3,6,4,2.9,3.6,2.5,6,4,14,10,,,2018-12-15,1.3,0.8,0,1,0,0,0.33720494567253656,0.2716373173473211,0.3911577369801424,1,2,4,0.5,0.06610381546442758,0.20458626071940997,0.9013436678008854,0.18349970048465541
1619,1,0,H,1,2,4,4,2.62,3.2,3.0,4,4,10,8,,,2018-12-15,0.5,1.0,2,0,0,1,0.37145952638910384,0.30413248723107883,0.3244079863798174,-1,0,2,-0.5,-0.44143037594930895,-0.2115711108634663,0.47333652882282884,-0.5965311324830794
1622,3,1,H,5,2,6,2,1.22,7.5,13.0,6,2,7,9,,,2018-12-15,1.7,1.5,2,0,0,1,0.7958533997224717,0.12945881968818873,0.07468778058933966,3,4,-2,0.19999999999999996,0.573638006878164,0.6207436323022862,-0.3826777491332842,-0.05050954940566507
1626,1,2,A,2,3,4,1,7.5,4.5,1.5,4,1,14,6,,,2018-12-16,0.4,1.2,0,1,0,0,0.13043478260869565,0.21739130434782608,0.6521739130434783,-1,3,8,-0.7999999999999999,-0.44143037594930895,0.4126649465108481,1.7573579457569986,-0.8305403823733998
1627,3,1,H,11,2,13,2,1.57,4.5,6.0,13,2,6,14,,,2018-12-16,2.5,0.7,2,0,0,1,0.6209037599172128,0.21662642290444978,0.16246981717833733,9,11,-8,1.8,2.096240581119374,2.0772944328423533,-1.6666991660674537,1.1975397833427108
1628,3,2,H,7,4,4,5,4.1,3.9,1.9,4,5,12,10,,,2018-12-16,1.3,1.9,2,0,0,1,0.23757614620070536,0.24975953831356207,0.5126643154857325,3,-1,2,-0.5999999999999999,0.573638006878164,-0.41964979665490443,0.47333652882282884,-0.6745342157798528
1629,0,2,A,5,6,1,10,7.0,4.0,1.57,1,10,7,3,,,2018-12-21,0.9,1.9,0,1,0,0,0.1387232162580075,0.24276562845151314,0.6185111552904793,-1,-9,4,-0.9999999999999999,-0.44143037594930895,-2.08427928298641,0.9013436678008854,-0.9865465489669467
1630,3,1,H,6,2,1,3,1.25,6.5,15.0,1,3,10,14,,,2018-12-22,1.6,1.2,2,0,0,1,0.7839195979899497,0.1507537688442211,0.06532663316582914,4,-2,-4,0.40000000000000013,0.8274051025850323,-0.6277284824463426,-0.8106848881113408,0.10549661718788203
1631,2,0,H,3,5,6,5,1.9,3.7,4.33,6,5,8,18,,,2018-12-22,0.8,0.8,2,0,0,1,0.5122130571008376,0.263028326619349,0.22475861627981328,-2,1,-10,0.0,-0.6951974716561772,-0.003492425072028173,-2.09470630504551,-0.206515715999212
1632,1,5,A,3,9,4,7,6.5,4.2,1.57,4,7,13,13,,,2018-12-22,1.4,2.8,0,1,0,0,0.149527200163269,0.23141114310982105,0.6190616567269098,-6,-3,0,-1.4,-1.7102658544836502,-0.8358071682377808,0.045329389844772354,-1.2985588821540408
1633,0,1,A,5,3,9,5,1.33,5.5,11.0,9,5,10,9,,,2018-12-22,2.4,0.5,0,1,0,0,0.733822548365577,0.17745163442294865,0.08872581721147432,2,4,1,1.9,0.3198709111712958,0.6207436323022862,0.25933295933380063,1.2755428666394841
1634,1,3,A,5,6,8,2,3.1,3.1,2.6,8,2,12,9,,,2018-12-22,0.8,2.5,0,1,0,0,0.31325301204819284,0.31325301204819284,0.3734939759036145,-1,6,3,-1.7,-0.44143037594930895,1.0369010038851625,0.687340098311857,-1.5325681320443612
1635,2,3,A,5,3,13,0,1.14,10.0,21.0,13,0,7,6,,,2018-12-22,1.5,0.9,0,1,0,0,0.8559550012227929,0.0975788701393984,0.04646612863780875,2,13,1,0.6,0.3198709111712958,2.4934518044252294,0.25933295933380063,0.2615027837814289
1636,0,0,D,0,2,6,0,2.0,3.6,4.0,6,0,9,12,,,2018-12-22,0.4,0.2,1,0,1,0,0.4864864864864865,0.2702702702702703,0.24324324324324326,-2,6,-3,0.2,-0.6951974716561772,1.0369010038851625,-0.5966813186223124,-0.05050954940566503
1637,0,2,A,7,5,10,4,2.37,3.5,3.1,10,4,9,11,,,2018-12-22,2.0,2.3,0,1,0,0,0.4095576022950324,0.27732900498263624,0.31311339272233124,2,6,-2,-0.2999999999999998,0.3198709111712958,1.0369010038851625,-0.3826777491332842,-0.4405249658895323
